isin,symbol,class,name,shares,date reported,%,value
US67066G1040,NVDA,Top Institutional Holders,Vanguard Group Inc,2.14B,"Jun 30, 2024",8.74,264902353368
US67066G1040,NVDA,Top Institutional Holders,Blackrock Inc.,1.84B,"Jun 30, 2024",7.5,227168271024
US67066G1040,NVDA,Top Institutional Holders,"FMR, LLC",1.04B,"Jun 30, 2024",4.26,128932216839
US67066G1040,NVDA,Top Institutional Holders,State Street Corporation,981.49M,"Jun 30, 2024",4,121223675015
US67066G1040,NVDA,Top Institutional Holders,"Geode Capital Management, LLC",534.55M,"Jun 30, 2024",2.18,66022706767
US67066G1040,NVDA,Top Institutional Holders,Price (T.Rowe) Associates Inc,444.58M,"Jun 30, 2024",1.81,54910281652
US67066G1040,NVDA,Top Institutional Holders,JP Morgan Chase & Company,390.78M,"Jun 30, 2024",1.59,48265168481
US67066G1040,NVDA,Top Institutional Holders,Morgan Stanley,336.96M,"Jun 30, 2024",1.37,41618085818
US67066G1040,NVDA,Top Institutional Holders,Norges Bank Investment Management,291.73M,"Jun 30, 2024",1.19,36031246856
US67066G1040,NVDA,Top Institutional Holders,Northern Trust Corporation,239.56M,"Jun 30, 2024",0.98,29588631421
US67066G1040,NVDA,Top mutual fund Holders,Vanguard Total Stock Market Index Fund,738.3M,"Jun 30, 2024",3.01,91187057254
US67066G1040,NVDA,Top mutual fund Holders,Vanguard 500 Index Fund,631.33M,"Jun 30, 2024",2.57,77975941660
US67066G1040,NVDA,Top mutual fund Holders,Fidelity 500 Index Fund,300.7M,"Jul 31, 2024",1.23,37139426147
US67066G1040,NVDA,Top mutual fund Holders,SPDR S&P 500 ETF Trust,291.48M,"Aug 31, 2024",1.19,36000513615
US67066G1040,NVDA,Top mutual fund Holders,iShares Core S&P 500 ETF,269.76M,"Aug 31, 2024",1.1,33317784478
US67066G1040,NVDA,Top mutual fund Holders,Vanguard Growth Index Fund,230.6M,"Jun 30, 2024",0.94,28481594845
US67066G1040,NVDA,Top mutual fund Holders,"Invesco ETF Tr-Invesco QQQ Tr, Series 1 ETF",183.86M,"Aug 31, 2024",0.75,22708543805
US67066G1040,NVDA,Top mutual fund Holders,Vanguard Institutional Index Fund-Institutional Index Fund,159.88M,"Jun 30, 2024",0.65,19746385144
